kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
一,1,"[ [ ""一年生（いちねんせい）"", ""first-year student"" ], [ ""一番（いちばん）"", ""number one"" ], [ ""一度（いちど）"", ""once"" ], [ ""一杯（いっぱい）"", ""one cup of, a lot of"" ], [ ""一緒（いっしょ）"", ""together"" ], [ ""一分（いっぷん）"", ""one minute"" ], [ ""一枚（いちまい）"", ""one (flat object) "" ], [ ""一つ（ひとつ）"", ""one (object) "" ], [ ""一人（ひとり）"", ""one person"" ] ]","イチ, イツ","ひと-, ひと.つ","かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと","one, one radical (no.1)",4.0,1.0,2.0,1.0,一
何,nani,"[ [ ""幾何学（きかがく）"", ""geometry"" ], [ ""何（なに）"", ""what"" ], [ ""何色（なにいろ）"", ""what color"" ], [ ""何しろ（なにしろ）"", ""at any rate, anyway"" ], [ ""何か（なにか）"", ""something"" ], [ ""何分（なんぷん）"", ""how many minutes"" ], [ ""何時（なんじ）"", ""what time"" ], [ ""何回（なんかい）"", ""how many times"" ], [ ""何百（なんびゃく）"", ""hundreds"" ], [ ""何度も（なんども）"", ""many times"" ], [ ""何才（なんさい）"", ""how old"" ] ]",カ,"なに, なん, なに-, なん-",あが,what,4.0,7.0,340.0,2.0,"化, 口, 亅, 一"
七,7,"[ [ ""七時（しちじ）"", ""7 o'clock"" ], [ ""十七（じゅうしち/じゅうなな）"", ""17"" ], [ ""七五三（しちごさん）"", ""festival for children aged 7, 5 & 3"" ], [ ""七回（ななかい）"", ""7 times"" ], [ ""七週間（ななしゅうかん）"", ""7 weeks"" ], [ ""七才（ななさい）"", ""7 years old"" ], [ ""七日（なのか）"", ""7 days, 7th of the month"" ], [ ""七つ（ななつ）"", ""7 (objects)"" ] ]",シチ,"なな, なな.つ, なの","し, しっ, な, ひち",seven,4.0,2.0,115.0,1.0,"乙, 匕, ノ"
飼,shi-ka(u),"[ [ ""飼料（しりょう）"", ""fodder, feed"" ], [ ""飼育する（しいくする）"", ""breed, raise, rear"" ], [ ""飼う（かう）"", ""keep as a pet"" ], [ ""飼い犬（かいいぬ）"", ""pet dog"" ], [ ""羊飼い（ひつじかい）"", ""shepherd, shepherdess"" ], [ ""放し飼い（はなしがい）"", ""pasturing, grazing"" ] ]",シ,か.う,かい,"domesticate, raise, keep, feed",1.0,13.0,1392.0,5.0,"口, 艮, 亅, 个, 食"
示,ji-shime(su),"[ [ ""示唆する（しさする）"", ""suggest, give a hint"" ], [ ""示談（じだん）"", ""settlement out of court"" ], [ ""掲示する（けいじする）"", ""put up a notice"" ], [ ""指示する（しじする）"", ""indicate, instruct, direct"" ], [ ""誇示する（こじする）"", ""emphasize, show off, display"" ], [ ""展示する（てんじする）"", ""exhibit, display [v.t.]"" ], [ ""表示する（ひょうじする）"", ""mark, display [v.t.]"" ], [ ""暗示する（あんじする）"", ""hint, suggest"" ], [ ""訓示する（くんじする）"", ""instruct, give instructions"" ], [ ""啓示する（けいじする）"", ""apocalypse, reveal"" ], [ ""示す（しめす）"", ""point out, indicate"" ] ]","ジ, シ",しめ.す,,"show, indicate, point out, express, display",2.0,5.0,237.0,5.0,"示, 二, 小"
述,jutsu-no(beru),"[ [ ""述語（じゅつご）"", ""predicate [n.]"" ], [ ""著述家（ちょじゅつか）"", ""writer"" ], [ ""述懐する（じゅっかいする）"", ""recollect, reminisce"" ], [ ""供述する（きょうじゅつする）"", ""state, declare"" ], [ ""陳述する（ちんじゅつする）"", ""testify, state, depose"" ], [ ""詳述する（しょうじゅつする）"", ""explain in detail"" ], [ ""記述する（きじゅつする）"", ""describe"" ], [ ""口述する（こうじゅつする）"", ""state verbally"" ], [ ""上述する（じょうじゅつする）"", ""state above"" ], [ ""述べる（のべる）"", ""state, express, mention"" ] ]",ジュツ,の.べる,,"mention, state, speak, relate",2.0,8.0,379.0,5.0,"込, 十, 丶, 木"
序,jo(ban),"[ [ ""序文（じょぶん）"", ""preface, foreword"" ], [ ""序曲（じょきょく）"", ""overture, prelude"" ], [ ""序説（じょせつ）"", ""introduction"" ], [ ""序列（じょれつ）"", ""rank, ranking order"" ], [ ""順序（じゅんじょ）"", ""order, sequence, procedure"" ], [ ""秩序（ちつじょ）"", ""order, regularity, system"" ] ]",ジョ,"つい.で, ついで",つぐ,"preface, beginning, order, precedence, occasion, chance, incidentally",1.0,7.0,1160.0,5.0,"子, 广, 亅, マ, 一"
織,(so)shiki,"[ [ ""染織（せんしょく）"", ""weaving and dyeing"" ], [ ""紡織（ぼうしょく）"", ""spinning and weaving"" ], [ ""織機（しょっき）"", ""loom, weaving machine"" ], [ ""組織（そしき）"", ""organization, structure"" ], [ ""織る（おる）"", ""weave"" ], [ ""織り目（おりめ）"", ""texture"" ], [ ""織物（おりもの）"", ""textile, fabric"" ], [ ""毛織（けおり）"", ""woolen fabric, woolen cloth"" ] ]","ショク, シキ","お.る, お.り, おり, -おり, -お.り","こおり, こり, のり","weave, fabric",1.0,18.0,608.0,5.0,"音, 糸, 幺, 小, 日, 立, 戈"
税,zei(kin),"[ [ ""税金（ぜいきん）"", ""tax, duty"" ], [ ""税関（ぜいかん）"", ""customs house"" ], [ ""税理士（ぜいりし）"", ""tax counsellor"" ], [ ""関税（かんぜい）"", ""customs, duty, tariff"" ], [ ""所得税（しょとくぜい）"", ""income tax"" ], [ ""間接税（かんせつぜい）"", ""indirect tax"" ], [ ""納税する（のうぜいする）"", ""pay taxes"" ], [ ""課税する（かぜいする）"", ""tax [v.t.]"" ], [ ""脱税する（だつぜいする）"", ""evade tax"" ], [ ""増税する（ぞうぜいする）"", ""increase tax"" ], [ ""減税する（げんぜいする）"", ""decrease tax"" ], [ ""免税する（めんぜいする）"", ""exempt from taxation [v.t.]"" ] ]",ゼイ,,さい,"tax, duty",2.0,12.0,289.0,5.0,"禾, 口, 并, 儿"
舌,zetsu-shita,"[ [ ""舌癌（ぜつがん）"", ""tongue cancer"" ], [ ""舌戦（ぜっせん）"", ""war of words"" ], [ ""毒舌な（どくぜつな）"", ""verbally abusive, sharp-tongued"" ], [ ""饒舌な（じょうぜつな）"", ""garrulous, talkative"" ], [ ""舌（した）"", ""tongue"" ], [ ""猫舌（ねこじた）"", ""unable to take hot food"" ], [ ""二枚舌（にまいじた）"", ""double-dealing, double-tongued"" ], [ ""舌打ちする（したうちする）"", ""smack one's lips"" ] ]",ゼツ,した,,"tongue, reed, clapper",1.0,6.0,1830.0,6.0,"口, 舌"
